"intnr","id","inttime","ctry","weight","compd","gdr","b_y","b_m","ageq","smas1","smas2","smas3","smas4","smas5","smas6","smas7","smas8","smas9","smas"
372,1372,1152,"The Netherlands",1.3452705369928,"20210409","Boy",2008,1,13,4,5,3,5,5,4,5,5,2,4.22222222222222
377,1377,428,"The Netherlands",0.800871146403427,"20210409","Boy",2007,2,14,4,4,4,3,4,4,3,4,3,3.66666666666667
379,1379,739,"The Netherlands",0.892578946982619,"20210413","Girl",2007,5,13,4,5,3,3,4,5,4,4,4,4
383,1383,1143,"The Netherlands",0.734373770152013,"20210416","Boy",2008,3,13,4,3,3,1,1,3,3,1,4,2.55555555555556
384,1384,764,"The Netherlands",0.761751039166176,"20210416","Boy",2007,1,14,4,4,2,3,3,2,3,3,1,2.77777777777778
393,1393,1277,"The Netherlands",1,"20210411","Boy",2006,5,14,4,3,4,3,3,4,4,4,3,3.55555555555556
395,1395,634,"The Netherlands",0.800871146403427,"20210409","Girl",2006,9,14,4,4,4,4,4,4,4,4,4,4
396,1396,1103,"The Netherlands",0.907191978320753,"20210409","Girl",2007,2,14,4,4,3,4,3,3,4,4,4,3.66666666666667
399,1399,959,"The Netherlands",0.75461555316222,"20210416","Boy",2008,5,12,3,4,2,3,3,2,3,3,4,3
400,1400,523,"The Netherlands",0.949132936462899,"20210416","Boy",2008,1,13,3,3,4,3,2,3,3,3,2,2.88888888888889
401,1401,829,"The Netherlands",0.878356666070866,"20210409","Girl",2008,4,13,5,5,4,5,5,4,5,5,3,4.55555555555556
403,1403,883,"The Netherlands",0.952941219474549,"20210408","Girl",2006,8,14,3,5,4,4,3,4,4,5,4,4
407,1407,1233,"The Netherlands",0.857564759318448,"20210416","Boy",2008,7,12,3,2,1,2,2,3,3,3,2,2.33333333333333
409,1409,704,"The Netherlands",1.13961680834259,"20210423","Girl",2008,7,12,5,5,2,5,4,5,3,3,1,3.66666666666667
410,1410,533,"The Netherlands",0.949132936462899,"20210412","Boy",2008,5,12,5,4,4,3,4,3,3,4,4,3.77777777777778
411,1411,733,"The Netherlands",0.734373770152013,"20210409","Boy",2007,9,13,3,4,1,2,4,1,2,4,4,2.77777777777778
412,1412,774,"The Netherlands",1.15796515257026,"20210409","Girl",2009,1,12,5,5,3,2,5,4,2,5,4,3.88888888888889
413,1413,945,"The Netherlands",1.12265917847105,"20210410","Girl",2006,6,14,4,5,4,4,5,4,5,3,4,4.22222222222222
415,1415,752,"The Netherlands",0.952553073693004,"20210411","Boy",2008,11,12,4,2,2,3,3,4,4,3,3,3.11111111111111
418,1418,242,"The Netherlands",0.734373770152013,"20210409","Boy",2008,5,12,3,4,3,3,4,3,3,3,3,3.22222222222222
420,1420,422,"The Netherlands",0.937591260219665,"20210409","Girl",2007,3,14,4,5,5,4,4,4,5,4,4,4.33333333333333
424,1424,1118,"The Netherlands",1.14057425291242,"20210415","Boy",2008,10,12,3,2,3,3,3,1,2,4,3,2.66666666666667
427,1427,459,"The Netherlands",1,"20210410","Boy",2006,5,14,4,4,4,3,4,4,4,4,4,3.88888888888889
428,1428,765,"The Netherlands",0.859430062567343,"20210410","Boy",2008,4,13,3,2,2,3,3,4,5,4,2,3.11111111111111
432,1432,739,"The Netherlands",0.854795655479883,"20210423","Girl",2008,1,13,4,5,4,4,3,4,2,3,4,3.66666666666667
434,1434,1424,"The Netherlands",1.15796515257026,"20210422","Girl",2009,3,12,4,4,4,5,5,5,5,5,4,4.55555555555556
436,1436,405,"The Netherlands",1,"20210409","Boy",2006,5,14,3,4,3,3,3,3,3,2,3,3
437,1437,607,"The Netherlands",0.76683422786695,"20210409","Boy",2006,9,14,2,2,2,2,2,2,2,2,2,2
438,1438,536,"The Netherlands",0.983831052828321,"20210419","Boy",2006,9,14,4,5,3,4,4,3,3,4,2,3.55555555555556
449,1449,511,"The Netherlands",0.921668688738217,"20210413","Boy",2008,12,12,4,4,4,4,4,4,4,4,3,3.88888888888889
453,1453,520,"The Netherlands",1,"20210409","Girl",2006,5,14,4,4,4,5,3,2,3,3,3,3.44444444444444
456,1456,491,"The Netherlands",0.980291742044676,"20210416","Boy",2006,6,14,5,5,4,4,5,5,5,5,3,4.55555555555556
462,1462,801,"The Netherlands",1.48191986347657,"20210420","Girl",2007,9,13,4,4,4,3,5,3,3,4,4,3.77777777777778
464,1464,654,"The Netherlands",0.994833360869473,"20210421","Boy",2008,8,12,4,4,4,4,4,3,2,2,4,3.44444444444444
465,1465,326,"The Netherlands",0.792670440931319,"20210408","Boy",2008,2,13,4,4,3,4,3,3,4,4,4,3.66666666666667
467,1467,1274,"The Netherlands",1.00731184207502,"20210409","Boy",2006,8,14,3,4,3,2,3,3,4,4,2,3.11111111111111
469,1469,659,"The Netherlands",1.10477081771781,"20210414","Other, namely...",2007,11,13,4,4,2,4,4,3,4,3,3,3.44444444444444
471,1471,857,"The Netherlands",0.922651756741203,"20210410","Girl",2007,8,13,4,5,4,4,5,4,5,5,5,4.55555555555556
473,1473,776,"The Netherlands",0.841026623125398,"20210413","Girl",2008,6,12,4,5,4,4,3,3,4,4,2,3.66666666666667
474,1474,832,"The Netherlands",1.07513648130036,"20210409","Girl",2008,4,13,3,4,3,3,4,4,4,4,4,3.66666666666667
477,1477,635,"The Netherlands",0.800871146403427,"20210409","Boy",2007,5,13,4,4,3,3,3,3,1,1,2,2.66666666666667
479,1479,695,"The Netherlands",0.734373770152013,"20210411","Boy",2007,9,13,4,3,4,4,2,3,4,5,1,3.33333333333333
480,1480,504,"The Netherlands",0.841483252695094,"20210414","Boy",2006,8,14,3,4,2,2,4,4,3,4,4,3.33333333333333
482,1482,626,"The Netherlands",0.779388604867275,"20210409","Boy",2006,11,14,4,4,5,2,4,3,4,4,3,3.66666666666667
484,1484,516,"The Netherlands",0.800871146403427,"20210410","Boy",2006,8,14,4,3,2,3,3,3,2,2,4,2.88888888888889
485,1485,672,"The Netherlands",0.854795655479883,"20210417","Girl",2007,10,13,4,4,3,5,3,3,4,4,4,3.77777777777778
486,1486,1270,"The Netherlands",0.892578946982619,"20210421","Girl",2006,12,14,4,4,4,4,4,3,3,4,4,3.77777777777778
488,1488,937,"The Netherlands",0.722544491263327,"20210408","Boy",2008,3,13,4,4,3,4,3,4,3,4,4,3.66666666666667
490,1490,1143,"The Netherlands",0.910467364834782,"20210409","Girl",2007,4,14,5,4,5,2,4,4,5,5,4,4.22222222222222
492,1492,1211,"The Netherlands",0.75461555316222,"20210410","Boy",2008,5,12,4,5,4,3,5,4,4,4,2,3.88888888888889
493,1493,492,"The Netherlands",0.906822466820736,"20210417","Boy",2008,9,12,3,4,3,3,3,2,3,3,3,3
494,1494,1647,"The Netherlands",0.76683422786695,"20210410","Boy",2006,8,14,4,4,4,4,2,3,4,3,4,3.55555555555556
495,1495,544,"The Netherlands",1,"20210420","Boy",2006,5,14,3,4,3,3,2,3,2,3,4,3
498,1498,587,"The Netherlands",0.734373770152013,"20210411","Boy",2008,3,13,4,4,4,3,3,4,4,4,4,3.77777777777778
500,1500,607,"The Netherlands",0.76683422786695,"20210409","Boy",2006,10,14,5,5,5,4,4,4,5,4,4,4.44444444444444
504,1504,575,"The Netherlands",0.922651756741203,"20210411","Girl",2008,5,12,4,4,4,4,4,4,4,4,3,3.88888888888889
505,1505,642,"The Netherlands",0.980291742044676,"20210411","Boy",2006,9,14,3,4,1,2,3,3,2,3,3,2.66666666666667
506,1506,2141,"The Netherlands",0.857881866810138,"20210415","Girl",2007,12,13,4,4,3,3,3,4,4,4,3,3.55555555555556
507,1507,860,"The Netherlands",0.734373770152013,"20210410","Boy",2007,7,13,4,4,3,3,3,4,4,4,3,3.55555555555556
509,1509,1482,"The Netherlands",0.897902576081357,"20210409","Girl",2007,9,13,4,4,4,4,4,4,3,3,3,3.66666666666667
510,1510,292,"The Netherlands",1.15827426849228,"20210409","Girl",2008,12,12,4,4,4,4,4,4,4,4,4,4
512,1512,1173,"The Netherlands",1.56586667063082,"20210428","Girl",2008,5,12,3,4,4,2,3,3,4,4,3,3.33333333333333
513,1513,687,"The Netherlands",1.12265917847105,"20210411","Girl",2007,3,14,4,5,4,5,3,5,4,5,3,4.22222222222222
515,1515,699,"The Netherlands",0.84125868077928,"20210413","Boy",2007,1,14,2,4,3,3,5,3,4,3,4,3.44444444444444
516,1516,1124,"The Netherlands",1.56586667063082,"20210409","Girl",2008,2,13,4,3,3,4,4,3,4,3,2,3.33333333333333
518,1518,1337,"The Netherlands",1.3452705369928,"20210411","Boy",2008,4,13,3,3,4,5,3,3,3,5,3,3.55555555555556
523,1523,828,"The Netherlands",0.907191978320753,"20210418","Girl",2007,2,14,3,2,3,4,2,3,3,3,4,3
525,1525,1300,"The Netherlands",0.779388604867275,"20210409","Boy",2006,8,14,3,4,2,2,1,4,1,2,3,2.44444444444444
526,1526,829,"The Netherlands",1.10875178567209,"20210410","Girl",2008,11,12,4,4,4,3,2,2,4,3,2,3.11111111111111
528,1528,379,"The Netherlands",1.69204115892178,"20210422","Boy",2007,12,13,3,1,4,3,1,3,2,2,2,2.33333333333333
531,1531,856,"The Netherlands",0.952941219474549,"20210409","Girl",2006,10,14,4,5,3,3,3,3,2,2,3,3.11111111111111
533,1533,1468,"The Netherlands",0.927008317732841,"20210410","Boy",2008,3,13,2,3,3,1,4,3,3,3,4,2.88888888888889
538,1538,1177,"The Netherlands",0.907191978320753,"20210408","Girl",2007,3,14,3,4,3,2,4,3,4,4,3,3.33333333333333
540,1540,639,"The Netherlands",1.00646626341071,"20210409","Girl",2006,7,14,5,3,3,3,1,2,4,4,2,3
546,1546,564,"The Netherlands",1.69204115892178,"20210411","Boy",2008,1,13,4,4,3,3,3,4,4,4,2,3.44444444444444
548,1548,832,"The Netherlands",2.47180240055878,"20210415","Girl",2008,9,12,4,4,4,3,3,3,3,3,4,3.44444444444444
549,1549,702,"The Netherlands",0.800871146403427,"20210416","Boy",2006,10,14,5,5,4,4,3,4,3,5,3,4
552,1552,1003,"The Netherlands",0.857881866810138,"20210424","Girl",2008,1,13,5,5,4,5,4,4,4,4,4,4.33333333333333
553,1553,586,"The Netherlands",0.800871146403427,"20210409","Boy",2007,2,14,4,4,4,4,3,3,3,3,4,3.55555555555556
554,1554,436,"The Netherlands",0.906822466820736,"20210409","Boy",2008,9,12,5,5,4,5,3,5,3,3,4,4.11111111111111
556,1556,771,"The Netherlands",0.897902576081357,"20210422","Girl",2007,9,13,2,3,2,2,2,2,2,3,3,2.33333333333333
557,1557,760,"The Netherlands",1.05781820306437,"20210409","Girl",2007,12,13,4,5,4,3,4,3,5,5,4,4.11111111111111
559,1559,511,"The Netherlands",1.4997312373159,"20210412","Boy",2007,5,13,4,4,3,4,4,5,4,4,4,4
560,1560,1372,"The Netherlands",0.924996342934502,"20210416","Boy",2008,9,12,5,4,2,4,1,4,4,3,4,3.44444444444444
563,1563,1163,"The Netherlands",0.892578946982619,"20210408","Girl",2006,8,14,4,3,2,1,4,3,3,4,4,3.11111111111111
564,1564,867,"The Netherlands",0.908032031788878,"20210418","Girl",2007,10,13,4,5,3,5,3,3,5,3,5,4
568,1568,610,"The Netherlands",1.64483254956417,"20210409","Girl",2008,5,12,4,4,3,4,3,3,3,3,4,3.44444444444444
572,1572,879,"The Netherlands",0.80550529733629,"20210409","Boy",2006,6,14,4,4,4,3,3,3,4,3,2,3.33333333333333
573,1573,720,"The Netherlands",0.922651756741203,"20210409","Girl",2008,2,13,4,4,3,3,3,3,4,4,3,3.44444444444444
574,1574,584,"The Netherlands",0.892578946982619,"20210417","Girl",2006,6,14,4,3,2,2,3,2,4,3,3,2.88888888888889
575,1575,353,"The Netherlands",0.800871146403427,"20210414","Boy",2006,11,14,4,4,4,4,4,4,4,4,4,4
576,1576,624,"The Netherlands",0.841026623125398,"20210411","Girl",2007,8,13,3,4,2,2,4,3,3,4,3,3.11111111111111
580,1580,703,"The Netherlands",0.864677329199558,"20210421","Boy",2007,1,14,4,5,4,4,4,4,4,5,4,4.22222222222222
582,1582,1168,"The Netherlands",1.07513648130036,"20210409","Girl",2007,7,13,5,3,4,4,2,5,5,4,4,4
585,1585,593,"The Netherlands",1.35119013242024,"20210411","Boy",2007,5,13,4,4,3,3,2,3,3,2,4,3.11111111111111
588,1588,625,"The Netherlands",0.910467364834782,"20210411","Girl",2006,6,14,5,4,4,4,4,4,4,3,5,4.11111111111111
590,1590,421,"The Netherlands",1.05781820306437,"20210408","Girl",2007,7,13,4,5,4,4,4,4,4,5,2,4
591,1591,1244,"The Netherlands",0.922651756741203,"20210411","Girl",2007,9,13,4,4,4,3,3,3,4,5,4,3.77777777777778
592,1592,1624,"The Netherlands",0.964501221086224,"20210416","Boy",2006,8,14,4,5,4,4,3,3,4,4,2,3.66666666666667
593,1593,879,"The Netherlands",1.3452705369928,"20210422","Boy",2008,1,13,4,2,2,3,3,3,4,3,3,3
594,1594,1116,"The Netherlands",0.979207448158197,"20210410","Girl",2006,9,14,3,4,4,4,3,4,4,4,2,3.55555555555556
596,1596,668,"The Netherlands",1.14103901345652,"20210427","Girl",2006,12,14,4,4,4,5,4,5,5,5,4,4.44444444444444
597,1597,494,"The Netherlands",0.75461555316222,"20210410","Boy",2007,8,13,3,3,3,3,4,3,4,4,3,3.33333333333333
598,1598,774,"The Netherlands",0.932197205794996,"20210409","Girl",2007,1,14,5,4,2,3,4,5,3,5,4,3.88888888888889
599,1599,882,"The Netherlands",1.02252716450831,"20210409","Boy",2008,10,12,4,3,2,3,4,3,3,3,4,3.22222222222222
601,1601,1624,"The Netherlands",0.734373770152013,"20210412","Boy",2007,9,13,4,4,5,3,2,4,4,4,2,3.55555555555556
602,1602,546,"The Netherlands",0.818692785336987,"20210409","Boy",2006,9,14,4,4,5,5,4,4,4,4,5,4.33333333333333
604,1604,1032,"The Netherlands",1.41311186240653,"20210411","Boy",2007,7,13,4,5,4,4,4,4,5,4,4,4.22222222222222
605,1605,849,"The Netherlands",1.12265917847105,"20210409","Girl",2006,11,14,4,4,3,4,3,4,3,5,4,3.77777777777778
606,1606,475,"The Netherlands",1.13097258227891,"20210410","Girl",2008,11,12,4,4,3,3,4,4,4,3,4,3.66666666666667
607,1607,783,"The Netherlands",1.02252716450831,"20210411","Boy",2008,9,12,2,2,2,1,3,1,1,1,4,1.88888888888889
609,1609,934,"The Netherlands",1,"20210409","Girl",2006,5,14,4,4,5,3,3,5,5,5,5,4.33333333333333
610,1610,2000,"The Netherlands",1.19020015877056,"20210419","Girl",2009,1,12,4,4,3,3,4,3,4,4,5,3.77777777777778
615,1615,531,"The Netherlands",0.84125868077928,"20210409","Boy",2006,10,14,3,2,3,2,2,2,2,2,4,2.44444444444444
617,1617,972,"The Netherlands",0.892578946982619,"20210416","Other, namely...",2006,11,14,4,3,4,4,5,4,5,5,3,4.11111111111111
619,1619,1638,"The Netherlands",1,"20210410","Boy",2006,5,14,5,3,4,3,4,5,4,5,4,4.11111111111111
620,1620,844,"The Netherlands",0.734373770152013,"20210410","Boy",2007,10,13,4,3,3,2,3,4,4,4,3,3.33333333333333
622,1622,1480,"The Netherlands",0.924996342934502,"20210416","Boy",2008,9,12,4,5,4,5,4,5,4,5,4,4.44444444444444
624,1624,1384,"The Netherlands",0.907191978320753,"20210422","Girl",2006,10,14,4,3,4,4,4,4,5,5,3,4
625,1625,562,"The Netherlands",0.932197205794996,"20210410","Girl",2006,12,14,2,3,2,3,3,2,2,1,3,2.33333333333333
627,1627,540,"The Netherlands",0.892578946982619,"20210416","Girl",2007,1,14,5,5,5,5,3,3,5,5,3,4.33333333333333
629,1629,571,"The Netherlands",1,"20210425","Boy",2006,6,14,4,3,3,1,3,3,4,3,2,2.88888888888889
638,1638,835,"The Netherlands",1.17248984279617,"20210419","Girl",2006,8,14,4,4,3,2,3,3,3,4,4,3.33333333333333
639,1639,596,"The Netherlands",0.841026623125398,"20210410","Girl",2007,9,13,4,3,3,3,3,3,3,2,2,2.88888888888889
640,1640,1584,"The Netherlands",1.19020015877056,"20210420","Girl",2008,12,12,5,5,5,5,3,1,5,4,5,4.22222222222222
642,1642,752,"The Netherlands",0.878356666070866,"20210413","Girl",2008,5,12,5,5,3,2,3,3,3,4,4,3.55555555555556
643,1643,563,"The Netherlands",0.878356666070866,"20210410","Girl",2008,1,13,3,2,1,2,3,2,2,4,3,2.44444444444444
644,1644,786,"The Netherlands",0.841026623125398,"20210422","Girl",2007,7,13,4,4,4,5,4,3,4,4,3,3.88888888888889
646,1646,813,"The Netherlands",0.800871146403427,"20210416","Boy",2007,4,14,1,2,1,1,1,1,1,1,2,1.22222222222222
650,1650,1669,"The Netherlands",0.878356666070866,"20210409","Girl",2007,9,13,4,4,4,4,4,5,4,3,4,4
654,1654,451,"The Netherlands",0.844094933516,"20210409","Girl",2006,10,14,4,3,3,2,2,2,2,1,3,2.44444444444444
657,1657,1117,"The Netherlands",1.10237302796699,"20210409","Girl",2008,10,12,3,4,3,2,4,2,4,3,4,3.22222222222222
658,1658,929,"The Netherlands",0.81473650787772,"20210414","Boy",2007,11,13,3,4,4,2,4,4,4,2,3,3.33333333333333
662,1662,621,"The Netherlands",0.922651756741203,"20210413","Girl",2008,3,13,4,4,4,4,3,4,4,4,3,3.77777777777778
663,1663,1982,"The Netherlands",1.82288274065312,"20210421","Boy",2008,11,12,3,4,3,2,2,2,4,4,4,3.11111111111111
664,1664,796,"The Netherlands",0.907191978320753,"20210417","Girl",2006,8,14,3,4,3,4,3,4,4,4,3,3.55555555555556
666,1666,2959,"The Netherlands",1.10477081771781,"20210410","Girl",2008,3,13,5,5,4,4,4,4,4,5,5,4.44444444444444
667,1667,728,"The Netherlands",0.737025202263952,"20210412","Boy",2008,3,13,4,4,2,1,3,3,4,2,2,2.77777777777778
668,1668,957,"The Netherlands",1.15796515257026,"20210416","Girl",2008,6,12,3,5,4,5,4,4,3,5,3,4
671,1671,499,"The Netherlands",1.10477081771781,"20210409","Girl",2007,12,13,4,4,4,5,3,3,3,4,4,3.77777777777778
672,1672,1119,"The Netherlands",0.758982051300333,"20210412","Boy",2007,7,13,3,3,3,2,4,4,2,4,4,3.22222222222222
674,1674,1287,"The Netherlands",1.07280300978368,"20210409","Girl",2008,11,12,1,4,1,3,3,3,2,4,3,2.66666666666667
677,1677,516,"The Netherlands",1,"20210417","Girl",2006,6,14,5,4,2,4,2,3,4,4,3,3.44444444444444
678,1678,2202,"The Netherlands",1.19120010074289,"20210409","Boy",2008,8,12,4,2,3,2,2,3,2,3,3,2.66666666666667
679,1679,1958,"The Netherlands",0.979069894314465,"20210409","Boy",2009,1,12,5,3,2,3,4,4,4,3,3,3.44444444444444
681,1681,1258,"The Netherlands",0.932197205794996,"20210422","Girl",2006,8,14,4,4,2,3,3,4,4,3,4,3.44444444444444
693,1693,562,"The Netherlands",0.75461555316222,"20210422","Boy",2007,12,13,4,4,4,3,4,4,3,3,3,3.55555555555556
694,1694,1161,"The Netherlands",0.84125868077928,"20210422","Boy",2006,12,14,3,3,1,2,4,4,2,3,3,2.77777777777778
695,1695,638,"The Netherlands",0.734373770152013,"20210420","Boy",2007,7,13,4,4,4,4,3,3,2,4,4,3.55555555555556
697,1697,439,"The Netherlands",1,"20210416","Girl",2006,5,14,4,5,3,5,4,4,5,4,4,4.22222222222222
704,1704,577,"The Netherlands",0.737025202263952,"20210408","Boy",2007,8,13,3,3,3,2,2,3,3,4,2,2.77777777777778
706,1706,857,"The Netherlands",0.892578946982619,"20210410","Girl",2006,8,14,4,3,3,2,4,4,3,2,4,3.22222222222222
708,1708,789,"The Netherlands",0.722544491263327,"20210409","Boy",2007,7,13,4,3,3,3,3,3,3,3,3,3.11111111111111
709,1709,1005,"The Netherlands",0.75461555316222,"20210408","Boy",2007,7,13,5,5,3,3,3,4,1,2,4,3.33333333333333
710,1710,930,"The Netherlands",0.75461555316222,"20210409","Boy",2008,3,13,3,3,3,2,2,2,2,2,4,2.55555555555556
712,1712,1177,"The Netherlands",0.907191978320753,"20210413","Girl",2007,2,14,4,4,3,4,3,3,4,4,3,3.55555555555556
715,1715,561,"The Netherlands",0.81473650787772,"20210419","Boy",2007,12,13,4,3,4,3,3,4,3,4,4,3.55555555555556
716,1716,696,"The Netherlands",1.30824223350977,"20210422","Boy",2008,5,12,4,4,3,3,3,4,3,2,3,3.22222222222222
719,1719,838,"The Netherlands",0.908032031788878,"20210410","Girl",2008,1,13,4,3,3,1,3,1,5,3,4,3
724,1724,1529,"The Netherlands",0.734373770152013,"20210411","Boy",2007,11,13,2,3,3,2,3,4,3,1,4,2.77777777777778
726,1726,628,"The Netherlands",0.75461555316222,"20210416","Boy",2007,7,13,4,4,4,4,4,4,4,4,4,4
727,1727,777,"The Netherlands",0.964501221086224,"20210416","Boy",2007,2,14,3,4,3,3,4,3,3,4,2,3.22222222222222
728,1728,951,"The Netherlands",0.892578946982619,"20210409","Girl",2006,10,14,3,4,2,2,5,2,3,3,4,3.11111111111111
731,1731,732,"The Netherlands",0.923673425501041,"20210424","Boy",2008,2,13,2,1,1,1,1,1,1,1,4,1.44444444444444
732,1732,918,"The Netherlands",0.75461555316222,"20210422","Boy",2008,5,12,4,3,2,2,3,3,3,3,3,2.88888888888889
733,1733,2216,"The Netherlands",0.779388604867275,"20210419","Boy",2006,10,14,4,3,3,2,3,3,4,3,4,3.22222222222222
735,1735,312,"The Netherlands",0.81473650787772,"20210408","Boy",2007,7,13,2,3,1,2,2,2,2,3,3,2.22222222222222
740,1740,444,"The Netherlands",0.95638178210464,"20210421","Girl",2006,9,14,4,4,4,4,4,4,4,4,4,4
741,1741,1361,"The Netherlands",0.771407874851546,"20210416","Boy",2008,2,13,3,4,4,2,5,3,2,4,2,3.22222222222222
744,1744,1015,"The Netherlands",0.947072942488836,"20210424","Boy",2008,10,12,4,4,4,3,3,2,4,4,4,3.55555555555556
745,1745,633,"The Netherlands",0.932197205794996,"20210409","Girl",2006,9,14,4,4,4,4,3,4,3,4,5,3.88888888888889
746,1746,1328,"The Netherlands",1.10237302796699,"20210426","Girl",2009,3,12,4,3,3,3,4,4,4,3,5,3.66666666666667
752,1752,429,"The Netherlands",1.38653191645373,"20210409","Girl",2008,10,12,4,4,4,3,4,4,4,4,4,3.88888888888889
753,1753,979,"The Netherlands",0.979207448158197,"20210414","Girl",2007,2,14,4,3,4,3,3,4,4,4,4,3.66666666666667
